qr	loc	plot	field	nLvl	irrigation	rep	row	range	genotype	population	harvestDate	combineYield	combineMoisture	combineTestWt	harvestSeq	combineNotes
5253$ROW22$RANGE12$SYNGENTA NK0760-3111	Lincoln	5253	Hybrid HIPS	Low	Dryland	2	22	12	SYNGENTA NK0760-3111	Hybrid	2022-10-10 13:26:22	4.87	12.4	62.3	401	NA
5254$ROW22$RANGE13$LH82 X PHB47	Lincoln	5254	Hybrid HIPS	Low	Dryland	2	22	13	LH82 X PHB47	Hybrid	2022-10-10 13:37:34	4.32	12.3	62.3	436	NA
5255$ROW22$RANGE14$LH82 X PHJ89	Lincoln	5255	Hybrid HIPS	Low	Dryland	2	22	14	LH82 X PHJ89	Hybrid	2022-10-10 13:50:36	6.62	12.4	62	477	NA
5157$ROW23$RANGE2$PHK76 X W606S	Lincoln	5157	Hybrid HIPS	Low	Dryland	1	23	2	PHK76 X W606S	Hybrid	2022-10-10 10:00:23	2.85	13.8	62.2	22	NA
5158$ROW23$RANGE3$PHP02 X PHJ89	Lincoln	5158	Hybrid HIPS	Low	Dryland	1	23	3	PHP02 X PHJ89	Hybrid	2022-10-10 10:20:00	6.1	12.5	63	55	NA
5159$ROW23$RANGE4$LH198 X PHB47	Lincoln	5159	Hybrid HIPS	Low	Dryland	1	23	4	LH198 X PHB47	Hybrid	2022-10-10 10:36:34	5.72	13.6	62.2	98	NA
5160$ROW23$RANGE5$F42 X OH43	Lincoln	5160	Hybrid HIPS	Low	Dryland	1	23	5	F42 X OH43	Hybrid	2022-10-10 10:49:43	5.75	13.2	62.5	131	NA
5161$ROW23$RANGE6$B84 X 3IIH6	Lincoln	5161	Hybrid HIPS	Low	Dryland	1	23	6	B84 X 3IIH6	Hybrid	2022-10-10 11:10:42	2.24	13.7	61.8	174	NA
5162$ROW23$RANGE7$B37 X OH43	Lincoln	5162	Hybrid HIPS	Low	Dryland	1	23	7	B37 X OH43	Hybrid	2022-10-10 11:26:33	2.76	13.8	61.6	207	NA
5163$ROW23$RANGE8$SYNGENTA NK0760-3111	Lincoln	5163	Hybrid HIPS	Low	Dryland	1	23	8	SYNGENTA NK0760-3111	Hybrid	2022-10-10 11:45:39	4.66	12.1	62.9	250	NA
5257$ROW23$RANGE9$2369 X PHN82	Lincoln	5257	Hybrid HIPS	Low	Dryland	2	23	9	2369 X PHN82	Hybrid	2022-10-10 11:58:30	5.69	13.1	62.3	283	NA
5258$ROW23$RANGE10$PHB47 X 3IIH6	Lincoln	5258	Hybrid HIPS	Low	Dryland	2	23	10	PHB47 X 3IIH6	Hybrid	2022-10-10 12:15:19	1.18	10.2	63.6	326	NA
5259$ROW23$RANGE11$PHW52 X LH185	Lincoln	5259	Hybrid HIPS	Low	Dryland	2	23	11	PHW52 X LH185	Hybrid	2022-10-10 13:12:32	3.55	12.2	62.6	359	NA
5260$ROW23$RANGE12$B73 X PHM49	Lincoln	5260	Hybrid HIPS	Low	Dryland	2	23	12	B73 X PHM49	Hybrid	2022-10-10 13:26:37	2.45	13.3	61.4	402	NA
5261$ROW23$RANGE13$B73 X 3IIH6	Lincoln	5261	Hybrid HIPS	Low	Dryland	2	23	13	B73 X 3IIH6	Hybrid	2022-10-10 13:37:17	0.74	5.43	64.9	435	NA
5262$ROW23$RANGE14$PHK76 X W606S	Lincoln	5262	Hybrid HIPS	Low	Dryland	2	23	14	PHK76 X W606S	Hybrid	2022-10-10 13:50:53	7.99	11.8	62.5	478	NA
5263$ROW23$RANGE15$PHP02 X PHK76	Lincoln	5263	Hybrid HIPS	Low	Dryland	2	23	15	PHP02 X PHK76	Hybrid	2022-10-10 14:00:16	4.19	12.3	62.3	511	NA
5164$ROW24$RANGE2$PHP02 X LH145	Lincoln	5164	Hybrid HIPS	Low	Dryland	1	24	2	PHP02 X LH145	Hybrid	2022-10-10 10:00:48	3.69	13.5	62.2	23	NA
5165$ROW24$RANGE3$PIONEER P0589 AMXT	Lincoln	5165	Hybrid HIPS	Low	Dryland	1	24	3	PIONEER P0589 AMXT	Hybrid	2022-10-10 10:19:35	10.12	13	62.6	54	NA
5166$ROW24$RANGE4$B105 X 3IIH6	Lincoln	5166	Hybrid HIPS	Low	Dryland	1	24	4	B105 X 3IIH6	Hybrid	2022-10-10 10:36:56	3.18	12.9	62.7	99	NA
5167$ROW24$RANGE5$PHP02 X PHK76	Lincoln	5167	Hybrid HIPS	Low	Dryland	1	24	5	PHP02 X PHK76	Hybrid	2022-10-10 10:49:21	5.14	13.1	62.5	130	NA
5168$ROW24$RANGE6$PHK56 X W606S	Lincoln	5168	Hybrid HIPS	Low	Dryland	1	24	6	PHK56 X W606S	Hybrid	2022-10-10 11:11:34	2.46	13.4	62.2	175	NA
5169$ROW24$RANGE7$4N506 X 3IIH6	Lincoln	5169	Hybrid HIPS	Low	Dryland	1	24	7	4N506 X 3IIH6	Hybrid	2022-10-10 11:26:14	1.4	11.7	63	206	NA
5170$ROW24$RANGE8$SYNGENTA NK0760-3111	Lincoln	5170	Hybrid HIPS	Low	Dryland	1	24	8	SYNGENTA NK0760-3111	Hybrid	2022-10-10 11:46:01	9.36	12.4	62.7	251	NA
5264$ROW24$RANGE9$PHP02 X PHG47	Lincoln	5264	Hybrid HIPS	Low	Dryland	2	24	9	PHP02 X PHG47	Hybrid	2022-10-10 11:58:10	4.24	12.7	62.6	282	NA
5265$ROW24$RANGE10$PIONEER 1311 AMXT	Lincoln	5265	Hybrid HIPS	Low	Dryland	2	24	10	PIONEER 1311 AMXT	Hybrid	2022-10-10 12:15:39	3.71	12.3	62.3	327	NA
5266$ROW24$RANGE11$PHK56 X W606S	Lincoln	5266	Hybrid HIPS	Low	Dryland	2	24	11	PHK56 X W606S	Hybrid	2022-10-10 13:12:13	3.34	12.5	62.4	358	NA
5267$ROW24$RANGE12$PHK56 X PHJ89	Lincoln	5267	Hybrid HIPS	Low	Dryland	2	24	12	PHK56 X PHJ89	Hybrid	2022-10-10 13:26:54	3.1	12.7	62.1	403	NA
5268$ROW24$RANGE13$B37 X H95	Lincoln	5268	Hybrid HIPS	Low	Dryland	2	24	13	B37 X H95	Hybrid	2022-10-10 13:37:00	2.24	12.1	62.4	434	NA
5269$ROW24$RANGE14$2369 X PHP02	Lincoln	5269	Hybrid HIPS	Low	Dryland	2	24	14	2369 X PHP02	Hybrid	2022-10-10 13:51:08	3.83	11.8	62.6	479	NA
5270$ROW24$RANGE15$F42 X MO17	Lincoln	5270	Hybrid HIPS	Low	Dryland	2	24	15	F42 X MO17	Hybrid	2022-10-10 14:00:01	5.85	12.2	62.4	510	NA
5171$ROW25$RANGE2$LH145 X LH162	Lincoln	5171	Hybrid HIPS	Low	Dryland	1	25	2	LH145 X LH162	Hybrid	2022-10-10 10:01:09	1.31	12.2	63	24	NA
5172$ROW25$RANGE3$PHP02 X LH82	Lincoln	5172	Hybrid HIPS	Low	Dryland	1	25	3	PHP02 X LH82	Hybrid	2022-10-10 10:19:12	2.9	13	62.7	53	NA
5173$ROW25$RANGE4$PIONEER 1311 AMXT	Lincoln	5173	Hybrid HIPS	Low	Dryland	1	25	4	PIONEER 1311 AMXT	Hybrid	2022-10-10 10:37:19	5.22	13	62.6	100	NA
5174$ROW25$RANGE5$PHN46 X W606S	Lincoln	5174	Hybrid HIPS	Low	Dryland	1	25	5	PHN46 X W606S	Hybrid	2022-10-10 10:48:59	3.39	13.7	62	129	NA
5176$ROW25$RANGE7$B73 X MO17	Lincoln	5176	Hybrid HIPS	Low	Dryland	1	25	7	B73 X MO17	Hybrid	2022-10-10 11:25:55	2.65	13.6	61.8	205	NA
5177$ROW25$RANGE8$SYNGENTA NK0760-3111	Lincoln	5177	Hybrid HIPS	Low	Dryland	1	25	8	SYNGENTA NK0760-3111	Hybrid	2022-10-10 11:46:23	7.7	12	63	252	NA
5271$ROW25$RANGE9$PHT69 X 3IIH6	Lincoln	5271	Hybrid HIPS	Low	Dryland	2	25	9	PHT69 X 3IIH6	Hybrid	2022-10-10 11:57:49	4.84	12.5	62.6	281	NA
5272$ROW25$RANGE10$B73 X PHZ51	Lincoln	5272	Hybrid HIPS	Low	Dryland	2	25	10	B73 X PHZ51	Hybrid	2022-10-10 12:15:56	4.32	12.8	61.9	328	NA
5273$ROW25$RANGE11$LH195 X 3IIH6	Lincoln	5273	Hybrid HIPS	Low	Dryland	2	25	11	LH195 X 3IIH6	Hybrid	2022-10-10 13:11:55	2.28	12.2	62.5	357	NA
5274$ROW25$RANGE12$PHK76 X LH198	Lincoln	5274	Hybrid HIPS	Low	Dryland	2	25	12	PHK76 X LH198	Hybrid	2022-10-10 13:27:11	2.28	12.4	62.4	404	NA
5275$ROW25$RANGE13$PHP02 X W606S	Lincoln	5275	Hybrid HIPS	Low	Dryland	2	25	13	PHP02 X W606S	Hybrid	2022-10-10 13:36:42	3.83	11.5	62.8	433	NA
5276$ROW25$RANGE14$HOEGEMEYER 8065RR	Lincoln	5276	Hybrid HIPS	Low	Dryland	2	25	14	HOEGEMEYER 8065RR	Hybrid	2022-10-10 13:51:25	7.78	12.1	62.4	480	NA
5277$ROW25$RANGE15$LH195 X PHZ51	Lincoln	5277	Hybrid HIPS	Low	Dryland	2	25	15	LH195 X PHZ51	Hybrid	2022-10-10 13:59:46	5.95	12.6	62.1	509	NA
5178$ROW26$RANGE2$LH82 X PHB47	Lincoln	5178	Hybrid HIPS	Low	Dryland	1	26	2	LH82 X PHB47	Hybrid	2022-10-10 10:01:35	0.81	7.28	64.8	25	NA
5179$ROW26$RANGE3$PHK56 X 3IIH6	Lincoln	5179	Hybrid HIPS	Low	Dryland	1	26	3	PHK56 X 3IIH6	Hybrid	2022-10-10 10:18:48	2	12.8	62.8	52	NA
5181$ROW26$RANGE5$LH195 X LH123HT	Lincoln	5181	Hybrid HIPS	Low	Dryland	1	26	5	LH195 X LH123HT	Hybrid	2022-10-10 10:48:39	0.3	2.48	0	128	NA
5182$ROW26$RANGE6$PHK76 X LH82	Lincoln	5182	Hybrid HIPS	Low	Dryland	1	26	6	PHK76 X LH82	Hybrid	2022-10-10 11:12:18	1.33	11.5	63.4	177	NA
5183$ROW26$RANGE7$PHK56 X LH185	Lincoln	5183	Hybrid HIPS	Low	Dryland	1	26	7	PHK56 X LH185	Hybrid	2022-10-10 11:25:37	0.77	6.55	65	204	NA
5184$ROW26$RANGE8$PHK56 X LH82	Lincoln	5184	Hybrid HIPS	Low	Dryland	1	26	8	PHK56 X LH82	Hybrid	2022-10-10 11:46:44	5.85	12.4	62.7	253	NA
5279$ROW26$RANGE10$PHP02 X PHJ89	Lincoln	5279	Hybrid HIPS	Low	Dryland	2	26	10	PHP02 X PHJ89	Hybrid	2022-10-10 12:16:13	4.69	12	62.5	329	NA
5280$ROW26$RANGE11$PHG39 X PHM49	Lincoln	5280	Hybrid HIPS	Low	Dryland	2	26	11	PHG39 X PHM49	Hybrid	2022-10-10 13:11:37	2.24	13.6	61.1	356	NA
5281$ROW26$RANGE12$PHB47 X PHJ89	Lincoln	5281	Hybrid HIPS	Low	Dryland	2	26	12	PHB47 X PHJ89	Hybrid	2022-10-10 13:27:27	2.57	12.4	62.2	405	NA
5282$ROW26$RANGE13$2369 X 3IIH6	Lincoln	5282	Hybrid HIPS	Low	Dryland	2	26	13	2369 X 3IIH6	Hybrid	2022-10-10 13:36:25	2.36	11.9	62.3	432	NA
5283$ROW26$RANGE14$LH195 X LH185	Lincoln	5283	Hybrid HIPS	Low	Dryland	2	26	14	LH195 X LH185	Hybrid	2022-10-10 13:51:40	6.61	12.4	62.1	481	NA
6101$ROW28$RANGE2$LH145 X LH162	Lincoln	6101	Hybrid HIPS	High	Dryland	1	28	2	LH145 X LH162	Hybrid	2022-10-10 10:02:32	1.33	12	63.3	27	NA
6102$ROW28$RANGE3$PIONEER 1311 AMXT	Lincoln	6102	Hybrid HIPS	High	Dryland	1	28	3	PIONEER 1311 AMXT	Hybrid	2022-10-10 10:17:56	5.17	13.6	62.1	50	NA
6103$ROW28$RANGE4$PHP02 X LH198	Lincoln	6103	Hybrid HIPS	High	Dryland	1	28	4	PHP02 X LH198	Hybrid	2022-10-10 10:38:38	4.16	13.7	62.2	103	NA
6104$ROW28$RANGE5$B73 X PHN82	Lincoln	6104	Hybrid HIPS	High	Dryland	1	28	5	B73 X PHN82	Hybrid	2022-10-10 10:47:36	5.81	16	60.1	126	NA
6105$ROW28$RANGE6$2369 X 3IIH6	Lincoln	6105	Hybrid HIPS	High	Dryland	1	28	6	2369 X 3IIH6	Hybrid	2022-10-10 11:13:17	3.82	13.9	61.7	179	NA
6106$ROW28$RANGE7$LH82 X PHB47	Lincoln	6106	Hybrid HIPS	High	Dryland	1	28	7	LH82 X PHB47	Hybrid	2022-10-10 11:24:58	4.5	13.2	62.2	202	NA
6107$ROW28$RANGE8$PHP02 X PHK76	Lincoln	6107	Hybrid HIPS	High	Dryland	1	28	8	PHP02 X PHK76	Hybrid	2022-10-10 11:47:29	5.29	12.1	63	255	NA
6201$ROW28$RANGE9$HOEGEMEYER 8065RR	Lincoln	6201	Hybrid HIPS	High	Dryland	2	28	9	HOEGEMEYER 8065RR	Hybrid	2022-10-10 11:56:37	8.76	12.4	62.9	278	NA
6202$ROW28$RANGE10$LH185 X W606S	Lincoln	6202	Hybrid HIPS	High	Dryland	2	28	10	LH185 X W606S	Hybrid	2022-10-10 12:16:52	5.2	12.3	62.4	331	NA
6203$ROW28$RANGE11$LH185 X LH145	Lincoln	6203	Hybrid HIPS	High	Dryland	2	28	11	LH185 X LH145	Hybrid	2022-10-10 13:10:57	3.69	12.4	62.5	354	NA
6204$ROW28$RANGE12$PHK56 X W606S	Lincoln	6204	Hybrid HIPS	High	Dryland	2	28	12	PHK56 X W606S	Hybrid	2022-10-10 13:28:03	5.36	13.1	61.7	407	NA
6205$ROW28$RANGE13$PHK56 X PHJ89	Lincoln	6205	Hybrid HIPS	High	Dryland	2	28	13	PHK56 X PHJ89	Hybrid	2022-10-10 13:35:47	4.01	12.5	62.1	430	NA
6206$ROW28$RANGE14$LH82 X W606S	Lincoln	6206	Hybrid HIPS	High	Dryland	2	28	14	LH82 X W606S	Hybrid	2022-10-10 13:52:15	5.87	11.8	62.6	483	NA
6207$ROW28$RANGE15$PHP02 X LH145	Lincoln	6207	Hybrid HIPS	High	Dryland	2	28	15	PHP02 X LH145	Hybrid	2022-10-10 13:58:55	7.25	12.1	62.4	506	NA
6108$ROW29$RANGE2$PHK56 X W606S	Lincoln	6108	Hybrid HIPS	High	Dryland	1	29	2	PHK56 X W606S	Hybrid	2022-10-10 10:02:57	1.45	12.1	63.1	28	NA
6109$ROW29$RANGE3$LH195 X LH123HT	Lincoln	6109	Hybrid HIPS	High	Dryland	1	29	3	LH195 X LH123HT	Hybrid	2022-10-10 10:17:32	2.05	15.9	60.1	49	NA
6110$ROW29$RANGE4$PHK76 X 3IIH6	Lincoln	6110	Hybrid HIPS	High	Dryland	1	29	4	PHK76 X 3IIH6	Hybrid	2022-10-10 10:39:02	3.53	13.8	62.1	104	NA
6111$ROW29$RANGE5$B73 X PHZ51	Lincoln	6111	Hybrid HIPS	High	Dryland	1	29	5	B73 X PHZ51	Hybrid	2022-10-10 10:47:15	5.31	14.1	61.9	125	NA
6112$ROW29$RANGE6$HOEGEMEYER 8065RR	Lincoln	6112	Hybrid HIPS	High	Dryland	1	29	6	HOEGEMEYER 8065RR	Hybrid	2022-10-10 11:13:51	5.88	13.1	62.4	180	NA
6113$ROW29$RANGE7$PHT69 X 3IIH6	Lincoln	6113	Hybrid HIPS	High	Dryland	1	29	7	PHT69 X 3IIH6	Hybrid	2022-10-10 11:24:36	3.25	12.4	62.8	201	NA
6114$ROW29$RANGE8$2369 X LH123HT	Lincoln	6114	Hybrid HIPS	High	Dryland	1	29	8	2369 X LH123HT	Hybrid	2022-10-10 11:47:52	1.24	11.1	63.1	256	NA
6208$ROW29$RANGE9$PHP02 X PHK56	Lincoln	6208	Hybrid HIPS	High	Dryland	2	29	9	PHP02 X PHK56	Hybrid	2022-10-10 11:56:14	6.55	12.5	62.6	277	NA
6209$ROW29$RANGE10$PHK56 X LH185	Lincoln	6209	Hybrid HIPS	High	Dryland	2	29	10	PHK56 X LH185	Hybrid	2022-10-10 12:17:11	3.4	13.1	61.7	332	NA
6210$ROW29$RANGE11$PHK76 X LH145	Lincoln	6210	Hybrid HIPS	High	Dryland	2	29	11	PHK76 X LH145	Hybrid	2022-10-10 13:10:37	4.01	12.8	62.3	353	NA
6211$ROW29$RANGE12$PHP02 X W606S	Lincoln	6211	Hybrid HIPS	High	Dryland	2	29	12	PHP02 X W606S	Hybrid	2022-10-10 13:29:02	4.77	12.1	62.4	408	NA
6212$ROW29$RANGE13$HOEGEMEYER 7089 AMXT	Lincoln	6212	Hybrid HIPS	High	Dryland	2	29	13	HOEGEMEYER 7089 AMXT	Hybrid	2022-10-10 13:35:28	8.82	12.1	62.4	429	NA
6213$ROW29$RANGE14$PHP02 X PHN46	Lincoln	6213	Hybrid HIPS	High	Dryland	2	29	14	PHP02 X PHN46	Hybrid	2022-10-10 13:52:32	5.31	11.9	62.6	484	NA
6214$ROW29$RANGE15$PHK76 X W606S	Lincoln	6214	Hybrid HIPS	High	Dryland	2	29	15	PHK76 X W606S	Hybrid	2022-10-10 13:58:41	5.47	12	62.4	505	NA
6115$ROW30$RANGE2$LH74 X PHM49	Lincoln	6115	Hybrid HIPS	High	Dryland	1	30	2	LH74 X PHM49	Hybrid	2022-10-10 10:03:21	1.43	12.2	63.2	29	NA
6116$ROW30$RANGE3$WF9 X H95	Lincoln	6116	Hybrid HIPS	High	Dryland	1	30	3	WF9 X H95	Hybrid	2022-10-10 10:17:07	0.62	6.27	65.5	48	NA
6117$ROW30$RANGE4$PHW52 X LH185	Lincoln	6117	Hybrid HIPS	High	Dryland	1	30	4	PHW52 X LH185	Hybrid	2022-10-10 10:39:28	3.89	13.1	62.5	105	NA
6118$ROW30$RANGE5$2369 X PHN82	Lincoln	6118	Hybrid HIPS	High	Dryland	1	30	5	2369 X PHN82	Hybrid	2022-10-10 10:46:51	5.03	13.2	62.4	124	NA
6119$ROW30$RANGE6$PHN46 X W606S	Lincoln	6119	Hybrid HIPS	High	Dryland	1	30	6	PHN46 X W606S	Hybrid	2022-10-10 11:14:21	2.67	12.9	62.5	181	NA
6120$ROW30$RANGE7$PHP02 X PHN46	Lincoln	6120	Hybrid HIPS	High	Dryland	1	30	7	PHP02 X PHN46	Hybrid	2022-10-10 11:24:17	2.59	12.4	62.7	200	NA
6121$ROW30$RANGE8$PHK56 X LH82	Lincoln	6121	Hybrid HIPS	High	Dryland	1	30	8	PHK56 X LH82	Hybrid	2022-10-10 11:48:16	4.84	12.8	62.5	257	NA
6215$ROW30$RANGE9$PHK56 X LH82	Lincoln	6215	Hybrid HIPS	High	Dryland	2	30	9	PHK56 X LH82	Hybrid	2022-10-10 11:55:50	6.94	12.7	62.7	276	NA
6216$ROW30$RANGE10$LH185 X LH82	Lincoln	6216	Hybrid HIPS	High	Dryland	2	30	10	LH185 X LH82	Hybrid	2022-10-10 12:17:33	5.5	12.3	62.3	333	NA
6217$ROW30$RANGE11$PHP02 X LH198	Lincoln	6217	Hybrid HIPS	High	Dryland	2	30	11	PHP02 X LH198	Hybrid	2022-10-10 13:10:19	3.42	12.5	62.4	352	NA
6218$ROW30$RANGE12$PHK56 X LH145	Lincoln	6218	Hybrid HIPS	High	Dryland	2	30	12	PHK56 X LH145	Hybrid	2022-10-10 13:29:19	2.65	12	62.5	409	NA
6219$ROW30$RANGE13$PHK76 X 3IIH6	Lincoln	6219	Hybrid HIPS	High	Dryland	2	30	13	PHK76 X 3IIH6	Hybrid	2022-10-10 13:35:08	1.34	10.2	63.5	428	NA
6220$ROW30$RANGE14$PHP02 X LH82	Lincoln	6220	Hybrid HIPS	High	Dryland	2	30	14	PHP02 X LH82	Hybrid	2022-10-10 13:52:46	3.86	11.6	62.7	485	NA
6221$ROW30$RANGE15$PHP02 X PHK76	Lincoln	6221	Hybrid HIPS	High	Dryland	2	30	15	PHP02 X PHK76	Hybrid	2022-10-10 13:58:27	4.78	12	62.5	504	NA
6122$ROW31$RANGE2$PHJ40 X LH82	Lincoln	6122	Hybrid HIPS	High	Dryland	1	31	2	PHJ40 X LH82	Hybrid	2022-10-10 10:03:46	4.45	13.7	62.5	30	NA
6123$ROW31$RANGE3$PHW52 X PHZ51	Lincoln	6123	Hybrid HIPS	High	Dryland	1	31	3	PHW52 X PHZ51	Hybrid	2022-10-10 10:16:45	1.68	13.9	61.7	47	NA
6124$ROW31$RANGE4$2369 X PHZ51	Lincoln	6124	Hybrid HIPS	High	Dryland	1	31	4	2369 X PHZ51	Hybrid	2022-10-10 10:39:53	2.51	13.6	62.2	106	NA
6125$ROW31$RANGE5$LH185 X LH82	Lincoln	6125	Hybrid HIPS	High	Dryland	1	31	5	LH185 X LH82	Hybrid	2022-10-10 10:46:29	3.76	13.2	62.5	123	NA
6126$ROW31$RANGE6$B105 X 3IIH6	Lincoln	6126	Hybrid HIPS	High	Dryland	1	31	6	B105 X 3IIH6	Hybrid	2022-10-10 11:14:53	1.77	12	63.1	182	NA
6127$ROW31$RANGE7$F42 X OH43	Lincoln	6127	Hybrid HIPS	High	Dryland	1	31	7	F42 X OH43	Hybrid	2022-10-10 11:23:57	2.58	13.5	61.9	199	NA
6128$ROW31$RANGE8$LH123HT X 3IIH6	Lincoln	6128	Hybrid HIPS	High	Dryland	1	31	8	LH123HT X 3IIH6	Hybrid	2022-10-10 11:48:37	0.49	1.89	0	258	NA
6223$ROW31$RANGE10$F42 X MO17	Lincoln	6223	Hybrid HIPS	High	Dryland	2	31	10	F42 X MO17	Hybrid	2022-10-10 12:17:53	2.16	12.7	61.7	334	NA
6224$ROW31$RANGE11$2369 X PHZ51	Lincoln	6224	Hybrid HIPS	High	Dryland	2	31	11	2369 X PHZ51	Hybrid	2022-10-10 13:10:00	2.48	12.7	62.1	351	NA
6225$ROW31$RANGE12$SYNGENTA NK0760-3111	Lincoln	6225	Hybrid HIPS	High	Dryland	2	31	12	SYNGENTA NK0760-3111	Hybrid	2022-10-10 13:29:38	4.22	12.1	62.5	410	NA
6226$ROW31$RANGE13$2FACC X 3IIH6	Lincoln	6226	Hybrid HIPS	High	Dryland	2	31	13	2FACC X 3IIH6	Hybrid	2022-10-10 13:34:52	1.97	10.9	63.1	427	NA
6227$ROW31$RANGE14$PHW52 X PHZ51	Lincoln	6227	Hybrid HIPS	High	Dryland	2	31	14	PHW52 X PHZ51	Hybrid	2022-10-10 13:53:01	4.5	12.1	62.5	486	NA
6228$ROW31$RANGE15$PHP02 X PHB47	Lincoln	6228	Hybrid HIPS	High	Dryland	2	31	15	PHP02 X PHB47	Hybrid	2022-10-10 13:58:11	4.2	12.3	62.1	503	NA
6129$ROW32$RANGE2$PHP02 X PHJ89	Lincoln	6129	Hybrid HIPS	High	Dryland	1	32	2	PHP02 X PHJ89	Hybrid	2022-10-10 10:04:08	7.21	13.2	62.8	31	NA
6130$ROW32$RANGE3$4N506 X 3IIH6	Lincoln	6130	Hybrid HIPS	High	Dryland	1	32	3	4N506 X 3IIH6	Hybrid	2022-10-10 10:16:22	1.52	12.4	63.1	46	NA
6131$ROW32$RANGE4$PHP02 X W606S	Lincoln	6131	Hybrid HIPS	High	Dryland	1	32	4	PHP02 X W606S	Hybrid	2022-10-10 10:40:17	4.18	13.1	62.6	107	NA
6132$ROW32$RANGE5$PHZ51 X LH145	Lincoln	6132	Hybrid HIPS	High	Dryland	1	32	5	PHZ51 X LH145	Hybrid	2022-10-10 10:46:06	5.43	13.1	62.5	122	NA
6133$ROW32$RANGE6$PHK76 X LH198	Lincoln	6133	Hybrid HIPS	High	Dryland	1	32	6	PHK76 X LH198	Hybrid	2022-10-10 11:15:23	3.3	13.6	62.2	183	NA
6134$ROW32$RANGE7$B84 X 3IIH6	Lincoln	6134	Hybrid HIPS	High	Dryland	1	32	7	B84 X 3IIH6	Hybrid	2022-10-10 11:23:35	2.28	13.5	61.9	198	NA
6135$ROW32$RANGE8$B73 X PHM49	Lincoln	6135	Hybrid HIPS	High	Dryland	1	32	8	B73 X PHM49	Hybrid	2022-10-10 11:49:00	2.58	13.8	61.7	259	NA
6229$ROW32$RANGE9$B73 X PHN82	Lincoln	6229	Hybrid HIPS	High	Dryland	2	32	9	B73 X PHN82	Hybrid	2022-10-10 11:55:03	5.06	15.2	60.6	274	NA
6230$ROW32$RANGE10$B105 X 3IIH6	Lincoln	6230	Hybrid HIPS	High	Dryland	2	32	10	B105 X 3IIH6	Hybrid	2022-10-10 12:18:13	1.55	11.2	62.8	335	NA
6231$ROW32$RANGE11$PHB47 X PHJ89	Lincoln	6231	Hybrid HIPS	High	Dryland	2	32	11	PHB47 X PHJ89	Hybrid	2022-10-10 13:09:42	3.12	12.6	62.2	350	NA
6232$ROW32$RANGE12$SYNGENTA NK0760-3111	Lincoln	6232	Hybrid HIPS	High	Dryland	2	32	12	SYNGENTA NK0760-3111	Hybrid	2022-10-10 13:29:51	4.39	12.3	62.3	411	NA
6233$ROW32$RANGE13$N209 X 3IIH6	Lincoln	6233	Hybrid HIPS	High	Dryland	2	32	13	N209 X 3IIH6	Hybrid	2022-10-10 13:34:32	4.06	11.4	63	426	NA
6234$ROW32$RANGE14$PHW52 X LH185	Lincoln	6234	Hybrid HIPS	High	Dryland	2	32	14	PHW52 X LH185	Hybrid	2022-10-10 13:53:18	3	12.2	62.3	487	NA
6235$ROW32$RANGE15$PHG39 X PHM49	Lincoln	6235	Hybrid HIPS	High	Dryland	2	32	15	PHG39 X PHM49	Hybrid	2022-10-10 13:57:55	4.34	15.1	59.9	502	NA
6136$ROW33$RANGE2$LH82 X W606S	Lincoln	6136	Hybrid HIPS	High	Dryland	1	33	2	LH82 X W606S	Hybrid	2022-10-10 10:04:35	4.87	13.4	62.7	32	NA
6137$ROW33$RANGE3$F42 X MO17	Lincoln	6137	Hybrid HIPS	High	Dryland	1	33	3	F42 X MO17	Hybrid	2022-10-10 10:16:01	0.59	7.41	65.1	45	NA
6138$ROW33$RANGE4$LH82 X PHJ89	Lincoln	6138	Hybrid HIPS	High	Dryland	1	33	4	LH82 X PHJ89	Hybrid	2022-10-10 10:40:40	2.85	13	62.6	108	NA
6139$ROW33$RANGE5$PHW52 X PHN82	Lincoln	6139	Hybrid HIPS	High	Dryland	1	33	5	PHW52 X PHN82	Hybrid	2022-10-10 10:45:46	3.35	15.3	60.7	121	NA
6140$ROW33$RANGE6$B14A X MO17	Lincoln	6140	Hybrid HIPS	High	Dryland	1	33	6	B14A X MO17	Hybrid	2022-10-10 11:15:50	2.84	14.6	61.2	184	NA
6141$ROW33$RANGE7$PHK56 X PHJ89	Lincoln	6141	Hybrid HIPS	High	Dryland	1	33	7	PHK56 X PHJ89	Hybrid	2022-10-10 11:23:16	1.86	13.3	61.9	197	NA
6142$ROW33$RANGE8$PHN46 X PHK56	Lincoln	6142	Hybrid HIPS	High	Dryland	1	33	8	PHN46 X PHK56	Hybrid	2022-10-10 11:49:26	1.37	11.7	62.8	260	NA
6236$ROW33$RANGE9$PHW52 X PHM49	Lincoln	6236	Hybrid HIPS	High	Dryland	2	33	9	PHW52 X PHM49	Hybrid	2022-10-10 11:54:42	3.67	15.9	60.1	273	NA
6237$ROW33$RANGE10$LH195 X LH185	Lincoln	6237	Hybrid HIPS	High	Dryland	2	33	10	LH195 X LH185	Hybrid	2022-10-10 12:18:30	1.54	11.8	62.2	336	NA
6238$ROW33$RANGE11$B73 X MO17	Lincoln	6238	Hybrid HIPS	High	Dryland	2	33	11	B73 X MO17	Hybrid	2022-10-10 13:09:21	1.07	10.9	62.4	349	NA
