qr,plot,loc,field,nLvl,irrigation,rep,row,range,genotype,anthesisDate,anthesisCollector,silkingDate,silkingCollector,notes,leafLen1,leafWidth1,leafLen2,leafWidth2,earHt1,flagLeafHt1,plantHt1,earHt2,flagLeafHt2,plantHt2,leafDimHtCollector,leafDimHtDate,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,population,leafDimHtNotes,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,looseKernelCt,looseKernelWt,totalMoisture,earDataCollector1,earPhenotypeNotes1,seedColor1,earWidth1,kernelFillLen1,kernelRows1,kernelsPerRow1,earWt1,totalKernelCt1,cobWidth1,cobLen1,cobWt1,hundredKernelWt1,greenAtHarvest1,earDataCollector2,earPhenotypeNotes2,seedColor2,earWidth2,kernelFillLen2,kernelRows2,kernelsPerRow2,earWt2,totalKernelCt2,cobWidth2,cobLen2,cobWt2,hundredKernelWt2,greenAtHarvest2,earDataCollector3,earPhenotypeNotes3,seedColor3,earWidth3,kernelFillLen3,kernelRows3,kernelsPerRow3,earWt3,totalKernelCt3,cobWidth3,cobLen3,cobWt3,hundredKernelWt3,greenAtHarvest3,earDataCollector4,earPhenotypeNotes4,seedColor4,earWidth4,kernelFillLen4,kernelRows4,kernelsPerRow4,earWt4,totalKernelCt4,cobWidth4,cobLen4,cobWt4,hundredKernelWt4,greenAtHarvest4,combineNotes
North Platte$HIPS - No Irrigation - Medium Nitrogen$Rep1$Plot1581$Row5$Range29$PHN46 x PHB47,1581,North Platte3,Hybrid HIPS,Medium,Dryland,-Inf,5,29,PHN46 X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.56,11.05,3.54,1.31,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1062$Row6$Range1$Hoegemeyer 7089 AMXT,1062,North Platte3,Hybrid HIPS,Low,Dryland,1,6,1,HOEGEMEYER 7089 AMXT,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.47,9.45,4.04,0.78,1,5,1.1,7.3,LL,AK,Yellow,3.5,11,16,11,102.7,11,2,15.5,13.3,27.3,FALSE,LL,AK,Yellow,3.5,11,14,11,98.4,11,2.5,15,15.5,22,FALSE,LL,AK,Yellow,4,10.5,16,10.5,109.4,10.5,2.5,16,15.8,23.5,FALSE,LL,AK,Yellow,3.5,13,16,13,116.1,13,2,18,16.5,20.2,FALSE,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1082$Row6$Range2$2369 x 3IIH6,1082,North Platte3,Hybrid HIPS,Low,Dryland,1,6,2,2369 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,68.06,8.79,3.91,1.48,1.41,NA,NA,NA,LL,NA,Yellow,4.5,15.5,18,36,153.67,626,3,18,19.03,21.84,NA,LL,NA,Yellow,4,13,16,31,95.67,436,2.5,16.5,11.67,19.85,NA,LL,NA,Yellow,4,11.5,16,29,101.52,440,2.5,16,12.37,20.58,NA,LL,NA,Yellow,4,13,16,33,102.25,481,2.5,17,13.92,17.53,NA,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1102$Row6$Range3$Syngenta NK0760-3111,1102,North Platte3,Hybrid HIPS,Low,Dryland,1,6,3,SYNGENTA NK0760-3111,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,68.46,10.7,3.67,2.94,1.66,NA,NA,NA,LL,NA,Yellow,4,12.5,16,33,87.23,477,2.5,15,15.52,16.17,NA,LL,NA,Yellow,4.5,12.5,16,24,96.27,526,2.5,15.5,14.82,15.61,NA,LL,NA,Yellow,4,13.5,14,37,103.85,478,3,17,17.12,18.5,NA,LL,NA,Yellow,4.5,13,16,24,91.92,467,2.5,15.5,15.55,17.49,NA,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1122$Row6$Range4$PHP02 x W606S,1122,North Platte3,Hybrid HIPS,Low,Dryland,1,6,4,PHP02 X W606S,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,67.96,10.43,4.11,0.8,1.08,NA,NA,NA,CH,NA,Orange,3.5,14,14,30,103.1,370,2.5,17.5,17.8,23.8,NA,CH,NA,Orange,4,14.5,14,32,122.1,471,2.5,17,20,21.9,NA,CH,NA,Orange,4,14,16,27,117.9,473,2.5,16.5,17.2,22.3,NA,CH,NA,Orange,4,13,14,26,101.3,406,2.5,16,16.1,19.9,NA,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1142$Row6$Range5$PHK76 x LH145,1142,North Platte3,Hybrid HIPS,Low,Dryland,1,6,5,PHK76 X LH145,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.05,11.08,3.74,1.07,0.91,28,4.03,9.5,CC,AK,Yellow/Orange,3,12,14,12,54.06,12,2.5,14,11.26,14.94,FALSE,CC,AK,Yellow/Orange,3,12,14,12,66.46,12,2.5,14.5,12.92,14.68,FALSE,CC,AK,Yellow/Orange,3.5,14,14,14,82.97,14,2.5,15.5,15.21,16.72,FALSE,CC,AK,Yellow/Orange,3.5,13,14,13,90.78,13,2.5,16,17.48,16.92,FALSE,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1162$Row6$Range6$PHW52 x PHZ51,1162,North Platte3,Hybrid HIPS,Low,Dryland,1,6,6,PHW52 X PHZ51,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.32,7.96,3.39,1.28,1.1,NA,NA,NA,IS,NA,Yellow,4,12,14,29,93.4,378,3,16,15,20,NA,IS,NA,Yellow,3.5,15,12,32,118.5,416,3,18,19,22.4,NA,IS,NA,Yellow,3.5,15,14,31,118.9,434,3,16,18.9,22.6,NA,IS,NA,Yellow,4,13,16,32,110.6,437,3,16.5,18.3,20.8,NA,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1182$Row6$Range7$2369 x PHZ51,1182,North Platte3,Hybrid HIPS,Low,Dryland,1,6,7,2369 X PHZ51,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,71.9,8.97,4.31,0.97,1.06,21,3.34,7,IS,aborted uneven rows,Yellow,3.5,14.5,14,14.5,102.17,14.5,2.5,16.5,18.08,21.35,FALSE,IS,aborted,Yellow,3.5,15,14,15,110.76,15,2.5,16.5,18.91,22.12,FALSE,IS,aborted/ eaten,Yellow,3.5,13.5,14,13.5,103.06,13.5,2.5,15.5,17.72,23.75,FALSE,IS,aborted/ eaten,Yellow,3.5,15,14,15,169.16,15,2.5,19,27.46,28.74,FALSE,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1202$Row6$Range8$B14A x Mo17,1202,North Platte3,Hybrid HIPS,Low,Dryland,1,6,8,B14A X MO17,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.61,9.75,4.08,1.82,1.31,NA,NA,NA,C/L,NA,Yellow,3.5,13.55,16,35,122.4,549,2.5,15.5,17.5,19.1,NA,C/L,NA,Yellow,3.5,14,14,33,97.8,462,2,14.5,15.1,17.6,NA,C/L,NA,Yellow,3.5,14.5,12,42,108,480,2,16,17.2,20,NA,C/L,NA,Yellow,3.5,14,16,37,100,588,2,15.5,16.6,14.2,NA,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1222$Row6$Range9$Syngenta NK0760-3111,1222,North Platte3,Hybrid HIPS,Low,Dryland,1,6,9,SYNGENTA NK0760-3111,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.37,10.15,3.78,3.07,1.68,NA,NA,NA,LL,NA,Yellow,4,12.5,14,32,84.3,404,2.5,15,15.56,17.57,NA,LL,NA,Yellow,4,11.4,16,28,85.18,459,2.5,14,15.37,15.76,NA,LL,NA,Yellow,4,13,16,33,82.18,448,2.5,15,14.67,16.52,NA,LL,NA,Yellow,4.5,16,16,40,155.55,626,3,18,22.81,21.44,NA,NA
North Platte$HIPS - No Irrigation - High Nitrogen$Rep1$Plot1242$Row6$Range11$PHP02 x PHN46,1242,North Platte3,Hybrid HIPS,High,Dryland,1,6,11,PHP02 X PHN46,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,71,10.44,3.55,1.98,1.44,18,4.41,6.9,LL,AK,Yellow,4,8.5,14,8.5,78.23,8.5,2,14,10.75,27.52,FALSE,LL,NA,Yellow,3.5,18,14,18,155.16,18,2,19,23.51,23.18,FALSE,LL,NA,Yellow,4,16,16,16,150.75,16,2.5,18,18.1,26.57,FALSE,LL,AK,Yellow,3.5,10.5,16,10.5,87.17,10.5,2,13.5,15.37,21.39,FALSE,NA
North Platte$HIPS - No Irrigation - High Nitrogen$Rep1$Plot1262$Row6$Range12$WF9 x H95,1262,North Platte3,Hybrid HIPS,High,Dryland,1,6,12,WF9 X H95,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,67.2,13.1,3.54,1.33,1.16,NA,NA,NA,CH,NA,Yellow,3,9.5,20,23,50.23,333,2,12,6.43,13.33,NA,CH,NA,Yellow,3.5,12,16,29,78.15,428,2,13,8.88,16.15,NA,CH,NA,Yellow,3.5,10.5,20,31,64.35,378,2,11,7.77,15.14,NA,CH,NA,Yellow,3.5,10.5,18,26,79.08,421,2.5,10.5,9.45,16.72,NA,NA
North Platte$HIPS - No Irrigation - High Nitrogen$Rep1$Plot1282$Row6$Range13$Syngenta NK0760-3111,1282,North Platte3,Hybrid HIPS,High,Dryland,1,6,13,SYNGENTA NK0760-3111,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.52,12,3.53,3.09,1.82,NA,NA,NA,IS,NA,Yellow,4,14,14,34,128.34,490,2.5,16.5,17.54,22.5,NA,IS,NA,Yellow,4,13,16,34,112.68,499,2.5,16,16.02,19.32,NA,IS,NA,Yellow,4,15.5,14,40,143.84,558,2.5,18.5,20.74,20.28,NA,IS,NA,Yellow,4,16.5,14,39,147.43,567,2.5,17,18.15,21.41,NA,NA
North Platte$HIPS - No Irrigation - High Nitrogen$Rep1$Plot1302$Row6$Range14$LH74 x PHN82,1302,North Platte3,Hybrid HIPS,High,Dryland,1,6,14,LH74 X PHN82,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.34,10.62,4.31,0.88,1.04,0,0,7.8,IS,aborted,Yellow,4,12,16,12,101.79,12,2.5,15,15.02,21.33,FALSE,IS,aborted,Yellow,3.5,11.5,14,11.5,94.47,11.5,2.5,14.5,13.23,23.72,FALSE,IS,aborted,Yellow,3.5,12,14,12,96.38,12,2.5,14,13.56,32.19,FALSE,IS,aborted,Yellow,4,13,15,13,122.06,13,2.5,15.5,16.73,24.18,FALSE,NA
North Platte$HIPS - No Irrigation - High Nitrogen$Rep1$Plot1322$Row6$Range15$PHK56 x 3IIH6,1322,North Platte3,Hybrid HIPS,High,Dryland,1,6,15,PHK56 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,65.35,9.88,4.08,1.4,1.33,NA,NA,NA,CH,NA,Yellow,4,14,16,33,103.24,449,2.5,14.5,11.42,19.59,NA,CH,NA,Yellow,4.5,11,18,21,88.63,355,2.5,12.5,10.73,22.52,NA,CH,NA,Yellow,4,14.5,16,34,110.54,473,2.5,15,12.27,20.66,NA,CH,NA,Yellow,4,14,14,34,106.29,418,2.5,16,12.88,20.91,NA,NA
North Platte$HIPS - No Irrigation - High Nitrogen$Rep1$Plot1342$Row6$Range16$2369 x LH123HT,1342,North Platte3,Hybrid HIPS,High,Dryland,1,6,16,2369 X LH123HT,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.5,11.37,3.34,0.9,0.73,20,4.73,4.66,IS,aborted,Yellow,4,12,16,12,106.06,12,2.5,13,14.9,21.91,FALSE,IS,aborted,Yellow,3.5,12.5,16,12.5,106.86,12.5,3,13.5,16.81,19.69,FALSE,IS,aborted,Yellow,3.5,13,16,13,104.74,13,2.5,14.5,16.15,18.52,FALSE,IS,aborted,Yellow,3.5,13.5,14,13.5,112.91,13.5,3,14.5,16.66,24.3,FALSE,NA
North Platte$HIPS - No Irrigation - High Nitrogen$Rep1$Plot1362$Row6$Range17$LH198 x PHB47,1362,North Platte3,Hybrid HIPS,High,Dryland,1,6,17,LH198 X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,67.99,12.14,4.44,1.53,1.13,NA,NA,NA,C,NA,Yellow,3.5,11,14,28,94.6,438,2.5,14,16,17.5,NA,C,NA,Yellow,3.5,10,14,27,69.4,303,2.5,11.5,11.1,18.7,NA,C,NA,Yellow,3,10.5,14,19,64.9,320,2,13,11.2,16.7,NA,C,NA,Yellow,3,9,12,21,54.8,234,2,11,9.9,19.2,NA,NA
North Platte$HIPS - No Irrigation - High Nitrogen$Rep1$Plot1382$Row6$Range18$LH123HT x PHB47,1382,North Platte3,Hybrid HIPS,High,Dryland,1,6,18,LH123HT X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,67.69,12.18,3.7,1.98,0.92,NA,NA,NA,CH,NA,Yellow,3.5,11.5,14,32,80.1,350,2,12,13,20.5,NA,CH,NA,Yellow,3,13,12,33,89.6,352,2,15,16.1,19.3,NA,CH,NA,Yellow,3.5,15,12,40,110.3,431,2,16.5,19.6,20.8,NA,CH,NA,Yellow,3.5,13,14,29,114.1,395,2.5,15,19.4,24.9,NA,NA
North Platte$HIPS - No Irrigation - High Nitrogen$Rep1$Plot1402$Row6$Range19$Syngenta NK0760-3111,1402,North Platte3,Hybrid HIPS,High,Dryland,1,6,19,SYNGENTA NK0760-3111,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.39,12.18,3.76,2.41,1.65,27,4.2,5.99,CH,AK,Yellow,3.5,11,14,11,90.5,11,2,15,13.5,18.5,FALSE,CH,AK,Yellow,3.5,11.5,16,11.5,88.6,11.5,2.5,15,14.1,16.5,FALSE,CH,AK,Yellow,3.5,11,14,11,80.6,11,2,14,11.2,16.5,FALSE,CH,AK,Yellow,3.5,9.5,16,9.5,71.2,9.5,2,13.5,11.1,17.2,FALSE,NA
North Platte$HIPS - No Irrigation - Medium Nitrogen$Rep1$Plot1422$Row6$Range21$PHP02 x PHK76,1422,North Platte3,Hybrid HIPS,Medium,Dryland,1,6,21,PHP02 X PHK76,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,68.67,11.25,4.26,0.94,1.08,NA,NA,NA,CH,NA,Orange,3.5,13,14,24,82.53,316,2.5,16.5,12.62,22.19,NA,CH,NA,Orange,4,13,14,28,93.11,349,2.5,15,13.64,22.26,NA,CH,NA,Orange,4,11.5,16,24,89.73,345,2.5,15,14.21,22.48,NA,CH,NA,Orange,3.5,14.5,12,30,95.36,339,2.5,17,15.42,23.27,NA,NA
North Platte$HIPS - No Irrigation - Medium Nitrogen$Rep1$Plot1442$Row6$Range22$LH195 x PHZ51,1442,North Platte3,Hybrid HIPS,Medium,Dryland,1,6,22,LH195 X PHZ51,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.99,11.07,4.24,0.62,1.16,NA,NA,NA,C,NA,Yellow,3.5,12,16,28,96.6,434,2.5,16.5,17.9,17.5,NA,C,NA,Yellow,3.5,11.5,16,27,83.7,361,2.5,13,13.6,19.3,NA,C,NA,Yellow,3.5,11.5,14,27,77.5,371,2.5,16,13.3,16,NA,C,NA,Yellow,3.5,12,16,28,104.3,414,2.5,17,18.2,20.7,NA,NA
North Platte$HIPS - No Irrigation - Medium Nitrogen$Rep1$Plot1462$Row6$Range23$WF9 x H95,1462,North Platte3,Hybrid HIPS,Medium,Dryland,1,6,23,WF9 X H95,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,66.8,13.49,4.45,1.22,1.06,28,4.12,9.2,CH,NA,Yellow,3.5,11,18,11,72.87,11,2,12.5,8.83,15.07,FALSE,CH,NA,Yellow,3,12,18,12,79.22,12,2,16,9.69,14.52,FALSE,CH,NA,Yellow,3.5,8,18,8,50.56,8,2,8,6.36,16.98,FALSE,CH,NA,Yellow,3,6,18,6,28.87,6,2,6,3.55,15.58,FALSE,NA
North Platte$HIPS - No Irrigation - Medium Nitrogen$Rep1$Plot1482$Row6$Range24$PHP02 x PHB47,1482,North Platte3,Hybrid HIPS,Medium,Dryland,1,6,24,PHP02 X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,66.73,12.01,4.82,1.44,1.12,NA,NA,NA,IS,NA,Yellow,3.5,9.5,14,21,75.94,247,2.5,16,16.33,23.22,NA,IS,NA,Yellow,3.5,11.5,12,22,67.58,253,2,16.5,15.76,25.72,NA,IS,NA,Yellow,3.5,12.5,14,26,91.36,327,2.5,17,17.3,23.77,NA,IS,NA,Yellow,3.5,12.5,11,27,81,253,2.5,16.5,13.97,24.13,NA,NA
North Platte$HIPS - No Irrigation - Medium Nitrogen$Rep1$Plot1502$Row6$Range25$B73 x PHZ51,1502,North Platte3,Hybrid HIPS,Medium,Dryland,1,6,25,B73 X PHZ51,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,68.11,11.75,4.31,0.74,1.12,54,7.4,8.2,IS,aborted,Yellow,4,12,16,12,99,12,3,15.5,16.43,16.43,FALSE,IS,aborted,Yellow,4,11.5,14,11.5,81.52,11.5,2.5,14,13.32,20.4,FALSE,IS,aborted,Yellow,4,12,14,12,78.79,12,3,14.5,13.41,17.87,FALSE,IS,aborted,Yellow,3.5,10.5,16,10.5,45.31,10.5,2.5,12.5,8.43,13.41,FALSE,NA
North Platte$HIPS - No Irrigation - Medium Nitrogen$Rep1$Plot1522$Row6$Range26$4N506 x 3IIH6,1522,North Platte3,Hybrid HIPS,Medium,Dryland,1,6,26,4N506 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.67,10.99,3.97,1.97,1.51,NA,NA,NA,IS,NA,Yellow,4,12.5,14,29,94.37,383,2.5,16,13.16,21.21,NA,IS,NA,Yellow,4,12.5,15,23,98,369,2.5,16,13.31,22.37,NA,IS,NA,Yellow,3.5,12.5,16,30,95.86,382,2.5,16,12.77,20.7,NA,IS,NA,Yellow,3.5,10,16,22,77.26,366,2.5,15,11.43,18.32,NA,NA
North Platte$HIPS - No Irrigation - Medium Nitrogen$Rep1$Plot1542$Row6$Range27$B37 x H95,1542,North Platte3,Hybrid HIPS,Medium,Dryland,1,6,27,B37 X H95,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,67.34,12.62,4.08,1.23,1.01,NA,NA,NA,ND/IS,NA,Yellow,4,13,20,38,88.7,522,2.5,14.5,14.1,13.5,NA,ND/IS,NA,Yellow,3.5,9.5,16,23,52.5,249,2.5,9.5,7.4,18,NA,ND/IS,NA,Yellow,4.5,10,18,24,75.3,356,3,11.5,10.7,18.2,NA,ND/IS,NA,Yellow,3.5,10.5,16,25,65.3,352,2.5,12,9.9,16.5,NA,NA
North Platte$HIPS - No Irrigation - Medium Nitrogen$Rep1$Plot1562$Row6$Range28$B73 x PHM49,1562,North Platte3,Hybrid HIPS,Medium,Dryland,1,6,28,B73 X PHM49,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.17,10.3,3.96,1.17,1.03,5,1.36,6.7,LL,NA,Yellow,3.5,11.5,16,11.5,101.56,11.5,2.5,14,13.33,21.23,FALSE,LL,NA,Yellow,4,11.5,16,11.5,114.1,11.5,2.5,14,15.26,24.37,FALSE,LL,NA,Yellow,3.5,12,14,12,79.97,12,2,13.5,11.95,23.62,FALSE,LL,NA,Yellow,3.5,11,16,11,91.3,11,2.5,13.5,13.12,18.82,FALSE,NA
North Platte$HIPS - No Irrigation - Medium Nitrogen$Rep1$Plot1582$Row6$Range29$PHZ51 x LH145,1582,North Platte3,Hybrid HIPS,Medium,Dryland,-Inf,6,29,PHZ51 X LH145,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.95,10.03,4.11,0.97,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1063$Row7$Range1$PHP02 x PHN46,1063,North Platte3,Hybrid HIPS,Low,Dryland,1,7,1,PHP02 X PHN46,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,67.09,10.51,3.61,1.53,1.27,15,2.84,7.3,IS,aborted,Yellow,3.5,11,14,11,91.36,11,2.5,17,18.15,18.84,FALSE,IS,aborted,Yellow,3.5,14,14,14,106.19,14,2.5,16,16.14,21.5,FALSE,IS,aborted,Yellow,3.5,16.5,16,16.5,131.6,16.5,2.5,16.5,20.39,20.03,FALSE,IS,aborted,Yellow,4,13.5,16,13.5,141.86,13.5,3,17.5,21.7,24.31,FALSE,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1083$Row7$Range2$LH195 x PHM49,1083,North Platte3,Hybrid HIPS,Low,Dryland,1,7,2,LH195 X PHM49,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.78,9.94,3.81,0.69,1.05,NA,NA,NA,C,NA,Yellow,3.5,11.5,16,21,87.4,420,2.5,13.5,10.8,17.6,NA,C,NA,Yellow,3.5,14,14,31,128.6,537,2.5,16.5,15.5,19.6,NA,C,NA,Yellow,3.5,12,14,31,86.5,364,2.5,13.5,10.9,19.2,NA,C,NA,Yellow,3.5,12,16,33,86.4,434,2.5,14,11,17,NA,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1103$Row7$Range3$LH195 x LH123HT,1103,North Platte3,Hybrid HIPS,Low,Dryland,1,7,3,LH195 X LH123HT,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,71.17,10.15,4.2,0.88,0.98,NA,NA,NA,LL,NA,Yellow,4,15,16,36,98.7,472,3,16,19.7,16.7,NA,LL,NA,Yellow,4.5,15,14,38,108.1,463,3.5,17,19.2,19.4,NA,LL,NA,Yellow,4,13,17,32,86.1,368,3,13,13.9,19.8,NA,LL,NA,Yellow,4,13.5,14,35,92,395,3,15,15.5,20.3,NA,NA
North Platte$HIPS - No Irrigation - Low Nitrogen$Rep1$Plot1123$Row7$Range4$B73 x 3IIH6,1123,North Platte3,Hybrid HIPS,Low,Dryland,1,7,4,B73 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.72,9.72,3.84,1.7,1.38,NA,NA,NA,IS,NA,Yellow,4,11.5,18,24,77.83,399,2.5,14.5,11.35,16.61,NA,IS,NA,Yellow,4.5,14.5,18,37,117.86,546,3,16,16,17.98,NA,IS,NA,Yellow,4.5,13,16,30,103.91,459,2.5,17,15.11,18.17,NA,IS,NA,Yellow,4,10,20,23,84.4,399,2.5,15,12.64,17.45,NA,NA
